Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
mix_75	0.146415119400863	0.0478667937234939	0.0466186304600245	0.092312126460402	9.00584288293174e-09	0.0518423239720124	0.614944996977361
mix_76	0.0504890135046556	9.73249072324524e-10	0.427626675706452	0.0338244736633075	4.71893308736689e-07	0.0735921619226122	0.414467202336415
mix_77	0.062978088195643	1.42003379672485e-08	0.531106754987142	0.0058484575463026	4.81774185792607e-07	0.0423925154532526	0.357673687843136
mix_78	0.115574429924634	2.8771803238782e-10	0.235501047833745	0.0732230426161668	8.92729715543706e-09	0.0440007213155582	0.53170074909488
mix_79	0.0338441545235988	3.91596333090339e-09	0.280541154582908	0.0837550752838688	5.35422508069566e-06	0.0124422202135934	0.589412037254987
mix_80	0.173244257338738	0.0068775471596144	0.330559973133604	0.038891726937615	4.85515347224718e-08	3.6668993834636e-10	0.450426446512203
mix_81	0.0848086554917619	0.117131065837878	0.293919298741894	0.0364136449041174	1.71219716176887e-08	3.84570412892804e-10	0.467727317517806
mix_82	0.14139751583032	1.90896834095308e-08	0.298614066981134	0.0651922035300934	2.64767677192973e-06	0.016040015224222	0.478753531667776
mix_83	0.120812988830607	0.0307188301112524	0.115393631353109	0.0860693713198079	1.28173287894532e-07	0.0424425059221647	0.604562544289771
mix_84	0.122376837404673	0.00432196596513191	0.360175474778608	0.0440185662730779	7.36242126809559e-07	1.65682965573388e-07	0.469106253653417
mix_85	0.0857422597489686	0.0191990648098106	0.377467391543798	0.041975145512907	1.32306309071972e-07	1.68216900975882e-11	0.475616006061385
mix_86	0.0468603730611423	0.0737951558422099	0.367288269217576	0.0191799851289794	3.45703909552804e-08	0.0542347455937827	0.438641436585918
mix_87	0.0650971686094659	0.105423101219425	0.234230093681531	0.0594593678986705	1.25301605841739e-09	2.73333744645516e-10	0.535790267064558
mix_88	0.118923535725482	1.38244997881845e-09	0.362407191575888	0.0308271052128862	7.96682797704244e-07	0.0519173001149725	0.435924069305525
mix_89	0.099106939745109	1.90932676953897e-08	0.498462909835267	0.0115441209205691	1.62410193899837e-06	0.0365793324045672	0.354305053899281
mix_90	0.0532816934528657	0.000563102142322165	0.358173650899892	0.0666178204739512	1.24805493374051e-09	2.13541494745055e-11	0.52136373176156
mix_91	0.113540068660799	0.00635635909014332	0.143329400177899	0.0807463449526006	1.75073848776219e-08	0.0678764002462977	0.588151409364875
mix_92	0.0975734902592448	0.0588483288314778	0.242112755147421	0.0643181605039011	5.46562662876304e-07	0.00551592742865189	0.531630791266641
mix_93	0.0148349981044007	0.000364252590699509	0.123486311362032	0.131778603930308	5.93326366797743e-10	0.0131820630445784	0.716353770374655
mix_94	0.0140187728682649	1.59825507403483e-09	0.214788717017044	0.0971766692785007	5.35001706161349e-09	0.0730897852127692	0.600926048675149
mix_95	0.170188520351203	4.17173036579466e-08	0.0911408237872498	0.0785182501247854	1.8489700513485e-07	0.0857439010732096	0.574408278049243
mix_96	0.139625864799331	8.96021521561962e-10	0.116160773704878	0.0695755082622823	4.00258533242355e-08	0.128884034625187	0.545753777686446
mix_97	0.0856417173546408	1.57001892791737e-08	0.287912916688278	0.0726462385773957	7.38751474127095e-09	0.016346722588004	0.537452381703977
mix_98	0.126427131532701	0.0513762856959227	0.193379248929327	0.0701992048334674	2.18265508008715e-08	0.0116024747079781	0.547015632474053
mix_99	0.0741734491822227	0.100645585199464	0.461679421607416	0.000710275110483641	1.23726121855172e-07	0.0140787898230634	0.348712355351229
mix_100	0.1061858986375	0.0393048262736117	0.272195733358218	0.0570416161461868	2.93045967393546e-08	0.00655430861236083	0.518717587667526
