ID,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
S10269,6.573912,5.931594,6.167886,6.667756,6.26669,5.702394,6.098084,6.20981,7.223488,6.626226,7.715044,5.395278,6.147134,5.089636,5.260794,6.613962,6.669076,7.23073,6.574734,6.240544,6.464516
S10272,6.452224,5.925928,6.011736,6.642164,6.20314,5.657158,6.070612,6.158036,7.15189,6.601534,7.717918,5.464886,6.152482,5.048022,5.330756,6.493936,6.696902,7.134646,6.54485,6.256484,6.476462
S10273,6.646174,6.026756,6.138374,6.731118,6.360594,5.720408,6.11102,6.207978,7.286062,6.770144,7.805794,5.427032,6.199266,4.98387,5.289342,6.690608,6.704706,7.264018,6.684156,6.310322,6.533426
S10274,6.593698,6.15106,6.113452,6.660462,6.31809,5.684088,6.188694,6.307992,7.343738,6.748404,7.7689,5.634292,6.330134,5.070194,5.31353,6.71185,6.894054,7.262318,6.733382,6.322614,6.615398
S1028,6.816242,6.25524,6.219016,6.595808,6.314008,5.720302,6.073994,6.240796,7.329604,6.963684,7.770454,5.609882,6.24872,4.921348,5.33669,6.718386,7.101456,7.241554,6.845382,6.32728,6.571834
S10280,6.835894,6.33339,6.349854,6.91381,6.458644,5.862584,6.340076,6.46205,7.74193,7.075272,7.831536,5.720002,6.392362,4.919542,5.397454,7.07672,7.08248,7.589112,6.992666,6.574744,6.71193
S10283,6.809204,6.26458,6.25415,6.666804,6.38359,5.799984,6.154206,6.403734,7.555122,7.114644,7.678302,5.590414,6.250702,4.92614,5.33576,6.975334,7.156954,7.611922,7.02776,6.509272,6.66592
S1029,6.64551,6.098212,6.157868,6.685382,6.402672,5.751456,6.156992,6.182192,7.318322,6.762818,7.623526,5.459082,6.329932,5.025498,5.273088,6.813896,6.859688,7.31848,6.806826,6.34577,6.478204
S10292,6.565258,6.100674,6.076148,6.642112,6.280582,5.716774,6.176186,6.153812,7.117116,6.673138,7.411922,5.482398,6.185264,5.054624,5.29798,6.828932,6.903256,7.309948,6.609206,6.337008,6.45337
S10294,6.747388,6.23497,6.11071,6.6535,6.303874,5.757894,6.128282,6.219982,7.205498,6.94736,7.534088,5.586142,6.353788,4.982638,5.35158,6.797438,7.060222,7.453246,6.773822,6.390446,6.522424
S10302,6.534928,6.14286,6.120842,6.684382,6.36853,5.707744,6.14,6.264494,7.37989,6.702786,7.565844,5.570604,6.244242,5.077316,5.28249,6.760202,6.89759,7.311932,6.723552,6.290832,6.511084
S10303,6.538026,5.955742,6.064024,6.622718,6.381142,5.69464,6.188436,6.177652,7.378784,6.678634,7.58596,5.51175,6.07903,5.012708,5.297242,6.70865,6.744502,7.264186,6.63503,6.299542,6.477498
S10323,6.531768,5.999582,6.151398,6.671874,6.335664,5.73789,6.18421,6.247272,7.34458,6.632456,7.633468,5.465706,6.257636,5.114042,5.289158,6.74597,6.678298,7.275732,6.64595,6.27192,6.533416
S10326,6.640332,6.083816,6.152042,6.769054,6.369404,5.688206,6.120082,6.272298,7.484984,6.846188,7.787314,5.486876,6.331988,4.975216,5.28045,6.657696,6.819024,7.372302,6.693706,6.339944,6.56723
S10328,6.549954,6.048338,6.09425,6.750972,6.40242,5.741438,6.209474,6.22767,7.366704,6.91348,7.70853,5.520122,6.20772,5.016758,5.348082,6.887298,6.921012,7.576298,6.831608,6.40726,6.514608
S10329,6.735678,6.16766,6.195398,6.70215,6.36879,5.734878,6.196862,6.298814,7.448548,6.923114,7.675536,5.561876,6.323934,5.000436,5.367938,6.869932,6.912658,7.468046,6.81099,6.421384,6.56947
S10336,6.485808,5.957016,6.12714,6.73137,6.365146,5.744236,6.164716,6.238846,7.388128,6.658516,7.65313,5.547744,6.208394,5.0435,5.267238,6.605932,6.70682,7.240044,6.620688,6.249394,6.50155
S10340,6.625714,6.042722,6.091194,6.741224,6.29281,5.699168,6.135804,6.21543,7.302932,6.706802,7.726686,5.491158,6.213832,5.016522,5.303842,6.82288,6.878736,7.367106,6.621274,6.305568,6.52718
S10347,6.14424,5.864736,5.945274,6.547918,6.243644,5.641558,6.206788,6.09195,7.20064,6.245276,7.331008,5.430894,6.079992,5.219014,5.23415,6.726572,6.43857,7.037758,6.311826,6.155742,6.346898
S10353,6.637052,6.004448,6.112474,6.690816,6.30805,5.690082,6.140548,6.245244,7.311006,6.739198,7.595216,5.514054,6.20889,5.065302,5.353104,6.748898,6.817522,7.23447,6.660712,6.308924,6.491536
S10356,6.412724,5.925754,6.091206,6.617272,6.32672,5.68442,6.167404,6.192126,7.282184,6.54037,7.429262,5.480124,6.182962,5.126214,5.264238,6.76605,6.685716,7.22546,6.56175,6.281182,6.441048
S10358,6.507502,6.05921,6.216768,6.730612,6.350074,5.71874,6.126414,6.305306,7.547538,6.75359,7.8543,5.552476,6.322458,5.026536,5.287104,6.777832,6.777454,7.325606,6.766972,6.311756,6.580866
S10365,6.444482,5.998944,6.050906,6.715988,6.239282,5.692916,6.050704,6.194596,7.325932,6.654108,7.735354,5.454414,6.16696,5.01546,5.286962,6.58847,6.682662,7.227858,6.555974,6.219196,6.502146
S1037,6.710632,6.182012,6.077326,6.598918,6.378018,5.769848,6.205768,6.214582,7.244062,6.918514,7.426398,5.58738,6.26666,4.996682,5.317268,7.01389,7.086888,7.560436,6.865708,6.419822,6.552062
S10373,6.713296,6.162654,6.1478,6.656936,6.419786,5.771702,6.227384,6.299978,7.372746,6.81042,7.597002,5.57237,6.337274,5.04795,5.362518,6.890128,6.993372,7.359778,6.825884,6.423178,6.573612
S10374,6.448682,6.02967,5.855164,6.510944,6.10871,5.68699,5.96225,6.069338,6.963932,6.583514,7.37417,5.558154,6.19966,5.135756,5.27352,6.421308,6.796256,6.917722,6.49935,6.157704,6.315626
S10375,6.549708,6.202758,6.211658,6.69405,6.50189,5.792908,6.26135,6.375376,7.41475,6.864612,7.783442,5.661508,6.300684,5.005204,5.440224,6.848794,6.847816,7.36466,6.892974,6.357204,6.632386
S10377,6.311588,6.06112,6.0437,6.552268,6.33418,5.786972,6.231126,6.171414,7.075528,6.367474,7.13058,5.549882,6.244678,5.27811,5.397358,6.766592,6.683846,6.986616,6.52307,6.191428,6.354504
S10378,6.84465,6.275682,6.21969,6.736232,6.380668,5.745498,6.16987,6.325384,7.460092,7.063298,7.863336,5.618144,6.307298,4.951532,5.31541,7.010386,7.162334,7.555316,7.009774,6.49557,6.63541
S10390,6.143894,5.751838,5.976916,6.505224,6.1177,5.654104,6.14992,6.045952,6.954332,6.11433,7.158638,5.32716,5.994912,5.228598,5.170578,6.572926,6.456524,6.886958,6.282914,6.080044,6.212506
S10391,6.459982,6.077744,6.071986,6.55751,6.303116,5.66698,6.15642,6.219202,7.244676,6.490234,7.310038,5.661672,6.360974,5.15525,5.35726,6.439056,6.666302,6.977232,6.570456,6.18427,6.474368
S10393,6.65184,6.214142,6.091818,6.569292,6.422524,5.786924,6.001514,6.220012,7.218752,6.962354,7.59133,5.657136,6.24352,5.064436,5.307258,6.623772,7.036118,7.181428,6.743512,6.237602,6.492206
S10400,6.381588,6.007436,6.17172,6.746156,6.390948,5.801204,6.277326,6.276184,7.524292,6.546364,7.672916,5.492334,6.233356,5.088312,5.257318,6.740036,6.649364,7.231,6.656518,6.263442,6.525006
S10401,6.44338,5.95096,6.089144,6.707138,6.358866,5.657346,6.260308,6.246142,7.350068,6.554392,7.577546,5.435664,6.24832,5.109248,5.330804,6.72727,6.671462,7.2824,6.659686,6.296956,6.48309
S10406,6.455598,5.986904,6.086324,6.670432,6.30386,5.698484,6.093384,6.188968,7.344634,6.42559,7.736292,5.517128,6.240594,5.096334,5.265632,6.484466,6.594202,7.019268,6.461426,6.186772,6.538186
S10408,6.50688,5.980788,6.13342,6.763972,6.444692,5.740348,6.36864,6.382686,7.498786,6.643224,7.731578,5.586942,6.26525,5.121666,5.303978,6.840336,6.789316,7.332636,6.717404,6.361006,6.519776
S10409,6.78805,6.297816,6.234302,6.671164,6.399144,5.824134,6.240664,6.316478,7.439198,7.02985,7.6963,5.745832,6.35133,5.081404,5.409544,6.846332,7.20599,7.35229,6.939168,6.458478,6.642512
S10418,6.04483,5.6514,5.923666,6.569886,6.20651,5.587954,6.040932,6.016272,6.908578,6.132342,7.494754,5.411218,6.064798,5.264602,5.234666,6.336928,6.226874,6.770892,6.223208,6.06593,6.269334
S10431,6.376384,5.934754,6.14968,6.628604,6.326146,5.73455,6.1457,6.201338,7.269408,6.608254,7.475906,5.466092,6.15183,5.121866,5.25159,6.729088,6.805836,7.20365,6.478586,6.228422,6.448982
S10438,6.562104,6.118598,6.17245,6.689994,6.375334,5.79415,6.161052,6.229716,7.325594,6.683768,7.607972,5.566936,6.293172,5.12723,5.32014,6.73853,6.88205,7.284896,6.738212,6.339572,6.543082
S10439,6.685672,6.210852,6.370744,6.766242,6.413962,5.81731,6.248342,6.360052,7.590576,6.923154,7.796548,5.620548,6.346358,4.971338,5.346152,6.90369,6.973646,7.364186,6.941626,6.368876,6.62122
