ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S12419,6.80642666667,6.1722,7.36832,7.09208823529,7.18748461538,5.767125,7.71511724138,6.64403333333,7.810175,5.52395,5.9337375,6.7728,5.28579230769,7.04826842105,6.6671,6.88840909091,6.20542666667,6.0193,6.64796315789,5.51708571429
S12428,6.65742,6.05158,6.81702666667,6.93989411765,7.00426153846,5.43255,6.9776137931,6.68793333333,7.802925,5.318525,5.65784375,6.52985454545,5.26523846154,6.77746315789,6.26041666667,6.59806363636,5.82994666667,5.87944444444,6.39425263158,5.40397142857
S12431,7.05292,5.96434,6.92192666667,6.9684,7.12752307692,5.699375,7.47304827586,7.0656,8.3483,5.45675833333,5.83949375,6.60743636364,5.11236153846,6.99080526316,6.77493333333,6.81309090909,5.84853333333,5.92897777778,6.54443157895,5.32577714286
S12432,6.93199333333,6.2582,6.93147333333,7.10616176471,7.13055384615,5.84255,7.10322413793,6.84363333333,8.61215,5.47349166667,5.73808125,6.66174545455,5.24875384615,6.9149,6.50595833333,6.88328181818,5.84431333333,6.01915555556,6.54145789474,5.36117714286
S12436,6.71080666667,5.99864,6.97578,6.97722647059,7.05579230769,5.94655,7.29522413793,6.82016666667,7.96315,5.37396666667,6.13280625,6.41215454545,5.44953846154,6.86144736842,6.59534166667,6.70599090909,6.04160666667,5.8824,6.43778421053,5.48822
S12437,6.8843,6.12526,7.25146666667,7.0394,7.02195384615,5.270025,7.49106551724,6.89588333333,8.171,5.68165833333,5.95471875,6.50415454545,5.27724615385,6.82463157895,6.528425,6.90500909091,5.83778666667,5.91045555556,6.50009473684,5.44756
S12439,6.73144,6.20498,7.00906666667,7.23536176471,6.70231538462,5.4541,7.20033793103,6.64288333333,8.1306,5.37219166667,5.92349375,6.73130909091,5.30826153846,7.01348947368,6.39525,6.83250909091,5.81885333333,5.83315555556,6.52917894737,5.52594
S12440,6.88916,6.0307,6.76122,6.85785,6.82188461538,5.153925,7.1380862069,7.04125,8.03585,5.35719166667,5.77388125,6.50347272727,5.28831538462,6.78604210526,6.28063333333,6.70225454545,5.73621333333,5.87726666667,6.48366842105,5.43952571429
S12441,6.51214666667,6.13702,7.09224666667,7.20315294118,6.89516153846,5.6725,7.18592413793,6.3727,7.4964,5.45431666667,6.212525,6.64743636364,5.26304615385,7.07016842105,6.45893333333,6.76104545455,5.81131333333,6.07484444444,6.60824210526,5.48761142857
S12447,7.0156,5.9104,7.07978666667,6.97722058824,6.64517692308,5.453625,7.53297586207,7.16695,8.066625,5.36063333333,5.99568125,6.43319090909,5.43759230769,6.85965789474,6.35398333333,6.81986363636,5.86123333333,5.76468888889,6.56800526316,5.53629142857
S12450,6.30387333333,5.90926,7.15288,6.90969411765,7.22081538462,5.4731,7.50748965517,6.59745,7.741075,5.37608333333,5.89878125,6.46344545455,5.31671538462,6.93740526316,6.43293333333,6.64665454545,5.66994,5.85837777778,6.40006315789,5.43158
S12452,6.89528666667,6.1892,6.90012,6.91611176471,7.04713076923,5.2404,6.9045137931,7.28646666667,8.184525,5.48045833333,5.70003125,6.58419090909,5.33744615385,6.87781052632,6.70659166667,6.69296363636,5.99286,6.01071111111,6.47285789474,5.41796
