Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE
Mix_79	0.165200635551127	0.12060574683496	0.124613210719673	0.0153107534826201	0	0.0645577672345285	0.320856846065565	0	0.188855040111528	9999	0.991552141768496	0.159904170764612
Mix_80	0.129629472255143	0.189835442510562	0.369754083947185	0.0422694472491723	0	0.0592191878171716	0.122060319628196	0	0.0872320465925706	9999	0.996505825230412	0.136880943068013
Mix_81	0.180342907179123	0.205571820507636	0.192651547334344	0	0	0.0382813165342106	0.201003769955059	0.0635681951366119	0.118580443353016	9999	0.996314487256254	0.141559033256621
Mix_82	0.0167860776007107	0.242735435598243	0.203899301530792	0.032867522787199	0	0.0801311448721966	0.240219962404105	0.0910416455430069	0.0923189096637472	9999	0.995751269757472	0.0952386113865316
Mix_83	0.16049331186534	0.276829624208913	0.283217454918292	0	0	0	0.160611029481828	0.024671252298483	0.094177327227144	9999	0.996512681624102	0.147233015083285
Mix_84	0.174347934141348	0.179574183943879	0.295518646842375	0	0	0.0673225685312278	0.101311993782005	0.0845917285490362	0.0973329442101274	9999	0.997100021736039	0.13663774501445
Mix_85	0.0575846804324481	0.198621886740788	0.32817243543862	0.0333583286984212	0	0.0222409141177031	0.241330601166511	0	0.118691153405508	9999	0.997070873729919	0.098242465670267
Mix_86	0.197658095097724	0.156944290563846	0.177903546088257	0	0	0.0366830740087169	0.21725691545211	0.0786373968194979	0.134916681969848	9999	0.996063271211727	0.14113807126247
Mix_87	0.15399699517272	0.349733802835635	0.259442846385347	0	0	0.0203812323453284	0.110827369506125	0	0.105617753754844	9999	0.991267560214066	0.181703971004049
Mix_88	0.122117810728938	0.253727467724243	0.418834306723272	0	0	0.0379042389029475	0.0426456399027938	0.101383246951872	0.0233872890659331	9999	0.996156296122322	0.130361354583863
Mix_89	0.230103718685027	0.0791169926102959	0.253621392110326	0	0	0.0722746498072584	0.192986403666712	0	0.17189684312038	9999	0.994378847948306	0.176648173931324
Mix_90	0.0421052028668564	0.207269218030123	0.210761808526126	0.0282696026035704	0	0.0508255618159333	0.316760542198724	0	0.144008063958667	9999	0.993457799666735	0.122396496011003
Mix_91	0.0561789383671364	0.347413546945477	0.344459613225917	0.0257114957169005	0	0.0234523420177153	0.124256746579998	0	0.0785273171468565	9999	0.995208417404048	0.126343992488932
Mix_92	0.119397509274294	0.194894682935713	0.301657624116003	0	0	0.0443943650416497	0.20160222587338	0	0.138053592758961	9999	0.994231477742707	0.144394065985229
Mix_93	0.227561222222175	0.142926293263058	0.45650904090012	0	0	0.0725784667597154	0.00963712807770978	0.0346654068134202	0.0561224419638015	9999	0.991161484721487	0.20215122642097
Mix_94	0.120617071251112	0.286211596979159	0.404060412230875	0	0	0.0275039493811847	0.0680099559974778	0.0434046425820969	0.0501923715780937	9999	0.996502130210688	0.137437732386653
Mix_95	0.0912394009568502	0.181432054073908	0.363120221458548	0.0266847909442226	0	0.044539614687747	0.179191067133878	0	0.113792850744846	9999	0.996271898613495	0.12040352264946
Mix_96	0.133438556416041	0.115423417051804	0.364840262733676	0	0	0.0900791939186497	0.134999240851585	0.0708671920342862	0.0903521369939574	9999	0.99761670302558	0.118204535479926
Mix_97	0.191266940015478	0.22758535244231	0.184655210765019	0	0	0.0676842407293943	0.176449916191678	0.0287861628561929	0.123572176999929	9999	0.995398895514455	0.162865815237307
Mix_98	0.310031214273614	0.301063331619375	0.329442383699453	0	0	0.00899104393542448	0.00439533783294911	0.0240192394043399	0.0220574492348433	9999	0.987617961917062	0.255312244164967
Mix_99	0.074206378179852	0.032826001546367	0.491252800412894	0.0144511868128144	0	0.115755446140392	0.134843208979552	0.0388186999527396	0.0978462779753893	9999	0.996529134711932	0.10613727276671
Mix_100	0.203387788288949	0.200354793474434	0.309818133443133	0	0	0.0287333579589011	0.133240709819117	0	0.124465217015465	9999	0.992494053891003	0.186109994371294
