ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S11812,8.098264,8.739166,8.736572,9.984456,8.024336,7.571594
S11820,8.064878,8.870194,8.702184,10.142702,8.590658,7.918024
S11822,7.973304,8.772748,8.54912,10.172204,8.317026,7.708186
S11823,7.94687,8.545184,8.479466,9.952656,8.508174,7.757852
S11826,7.952354,8.550676,8.680808,10.008794,8.39155,7.699906
S1183,7.986434,8.411212,8.403786,9.538088,8.609472,7.5824
S1184,8.134532,8.907956,8.619756,9.939664,8.584646,7.906998
S11842,8.189664,8.874018,8.773938,10.100396,9.029818,8.12109
S11843,7.922028,8.78042,8.64997,10.034866,8.399058,7.77467
S11844,8.158526,8.95439,8.75271,10.050044,8.528396,7.820674
S11850,8.395618,8.913668,9.039076,10.113036,8.369378,7.69341
S11853,8.078794,8.514738,8.561054,9.948582,8.38511,7.674842
S11857,7.901832,8.66625,8.681932,10.011822,8.238444,7.651878
S11858,7.911844,8.646408,8.507246,10.017254,8.284738,7.656834
S11860,8.193182,8.961226,8.738246,10.184556,8.731274,7.937378
S11864,8.21653,8.808302,8.71769,9.92846,8.314436,7.60347
S11870,8.02343,8.773624,8.596012,10.039856,8.671544,7.995954
S11875,8.04617,8.626454,8.625542,10.019698,8.330196,7.909686
S11877,7.641588,8.430516,8.251256,9.65364,8.24267,7.303196
S11878,8.53405,9.226818,8.879004,10.185754,9.128226,8.15688
S11882,7.745764,8.460734,8.432632,9.5704,8.311466,7.600742
S11883,7.65976,8.511388,8.333118,9.870436,7.98731,7.369746
S11884,8.265982,9.20682,8.926978,10.281844,8.515114,7.89247
S11886,7.98682,8.673476,8.49726,9.983542,8.220814,7.504168
