ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S11419,8.697218,8.72003,9.3043,8.04756,7.36779,8.918546
S11424,8.795648,8.9172,9.129394,8.118192,7.38962,8.676748
S11425,8.609376,8.57613,9.222752,7.87608,7.263274,8.500378
S11433,8.983264,9.080872,9.474188,8.29676,7.790484,9.014878
S11434,8.8806,8.959752,9.475452,8.076116,7.444412,8.724148
S11436,8.737048,8.8308,9.30691,8.052126,7.486848,8.775042
S11437,8.82542,8.827518,9.162834,8.041028,7.19951,8.599038
S11440,8.439264,8.504364,9.144346,7.963984,7.305594,8.760376
S11449,8.688466,8.626378,9.11391,7.792214,7.024888,8.387546
S11459,8.49299,8.562748,8.959922,7.863298,7.159782,8.414022
S11477,8.724164,8.789278,9.25987,8.109352,7.27098,8.83692
S11480,8.491432,8.502788,9.053754,7.90986,7.179418,8.615688
S11486,8.246818,8.456088,8.920658,7.695312,6.890974,8.307632
S11501,8.173842,7.996384,8.675474,7.611296,7.036962,8.338158
S11504,8.511598,8.537036,9.02328,7.90041,7.220526,8.4347
S11507,8.560848,8.447122,8.910594,7.794178,7.10401,8.251556
S11518,9.01765,9.157108,9.605568,8.251506,7.70708,8.901464
S11525,8.495602,8.474386,9.02221,7.845736,7.107994,8.436172
S11531,8.45122,8.453334,8.99374,7.781362,7.156518,8.57683
S11532,8.621374,8.62566,9.110932,7.897422,7.28039,8.584752
S1154,8.752208,8.843736,9.180738,8.046984,7.341508,8.57056
S11542,8.348172,8.457962,8.985636,7.947208,7.306796,8.524044
S11543,8.62002,8.667512,9.249198,7.963298,7.311982,8.690688
S11546,8.701616,8.82897,9.228476,8.044256,7.385452,8.76311
S1155,8.550604,8.622644,9.255466,8.137562,7.472262,8.861508
S1156,8.497288,8.571536,8.934764,7.781848,7.109302,8.16894
S11568,8.428608,8.39411,9.07783,7.794378,7.15532,8.500624
S11576,8.807814,8.872392,9.294756,7.99032,7.353666,8.672114
S11584,8.424838,8.579114,9.116914,8.034684,7.29178,8.695684
S11586,8.866326,8.933926,9.538148,8.260184,7.566962,8.994014
S11590,8.7555,8.802188,9.418896,8.084266,7.454512,8.879524
S11592,8.53132,8.460138,9.00813,7.923784,7.159642,8.459946
S11593,8.7868,8.836846,9.37385,8.051736,7.448142,8.73455
S11599,8.51765,8.589724,9.047172,8.056188,7.309452,8.715
S1160,8.535492,8.457454,8.990912,7.779634,7.169452,8.322426
S11610,8.493896,8.42678,9.074918,7.88537,7.1471,8.569718
S11615,8.616624,8.610206,9.179806,7.922538,7.27482,8.565996
S11629,9.166584,9.266524,9.509668,8.320314,7.645454,8.95577
S11631,8.767778,8.785106,9.163658,7.914342,7.359078,8.619086
S1164,8.664552,8.742584,9.211662,8.102194,7.335196,8.657238
S11642,8.113782,8.13634,8.792128,7.86381,6.985422,8.390394
S11656,8.435972,8.464256,9.05347,7.931812,7.28453,8.604184
S11663,8.823132,8.81772,9.325662,8.151572,7.43336,8.915252
S11667,8.914112,8.955908,9.537682,8.149576,7.573992,9.059522
S11668,8.522974,8.55971,9.156758,7.892946,7.185402,8.607134
S1167,8.497268,8.519036,9.142178,7.963054,7.230454,8.49185
S11673,8.295316,8.240438,9.003274,7.837796,7.103898,8.446312
S11682,8.662472,8.774184,9.3602,8.092506,7.45964,8.841822
S11693,8.582014,8.618822,9.162194,7.937592,7.29307,8.502788
S11696,8.551134,8.635188,9.181962,7.900244,7.336778,8.57242
S11699,8.762482,8.7988,9.254704,8.067824,7.353894,8.86203
S117,7.997626,8.029966,8.449928,7.561526,6.855422,8.06295
S1170,8.655924,8.614248,9.186956,7.892862,7.18169,8.460036
S11709,8.421022,8.487154,9.068546,7.892496,7.076868,8.622638
S11713,8.553434,8.614858,9.058234,7.83373,7.207822,8.28418
S11717,8.778652,8.771858,9.128644,8.039926,7.324324,8.63441
S1173,8.480084,8.472016,9.141708,8.011188,7.246568,8.5984
S11731,8.399014,8.632276,9.354862,8.16567,7.407206,8.900828
S11732,8.598826,8.645544,9.08053,7.943338,7.151782,8.385892
S11733,8.882518,8.898668,9.40434,8.060848,7.562806,8.94013
