	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S20006	0	1	0	0	0	0	0	0
S20016	0	0.995288262788752	0	0.00471173721124789	0	0	0	0
S20023	0	1	0	0	0	0	0	0
S20026	0	0.99682574008863	0	0.00317425991137028	0	0	0	0
S20033	0	0.998720788373431	0	0	0.00127921162656856	0	0	0
S2004	0	0.999949477209163	0	0	5.05227908375105e-05	0	0	0
S20054	0	0.998763496523894	0	0	0.00123650347610598	0	0	0
S20063	0	0.999392742790208	0	0	0.000607257209792378	0	0	0
S20071	0	0.994606148638103	0	0.00539385136189663	0	0	0	0
S20072	0	1	0	0	0	0	0	0
S20079	0	1	0	0	0	0	0	0
S2008	0	1	0	0	0	0	0	0
S20088	0	0.997086810187272	0	0.00291318981272848	0	0	0	0
S20093	0	0.999789078883963	0	0	0.000210921116036935	0	0	0
S20095	0	1	0	0	0	0	0	0
S20099	0	0.999640612880191	0	0	0.00035938711980938	0	0	0
S201	0	0.996690168017065	0	0.00330983198293492	0	0	0	0
S20102	0	1	0	0	0	0	0	0
S20104	0	0.998308577902344	0	0.00169142209765598	0	0	0	0
S20105	0	1	0	0	0	0	0	0
S20108	0	1	0	0	0	0	0	0
S20115	0	0.999710169924602	0	0	0.000289830075397593	0	0	0
S20117	0	0.999344480958089	0	0	0.000655519041910974	0	0	0
S20129	0	0.999692053687332	0	0	0.000307946312667692	0	0	0
S20132	0	0.995970402533755	0	0.00402959746624485	0	0	0	0
S20135	0	0.999785978769683	0	0	0.000214021230316772	0	0	0
S20138	0	0.999826993219895	0	0	0.000173006780105173	0	0	0
S20151	0	1	0	0	0	0	0	0
S20152	0	0.999902879935132	0	0	9.71200648680303e-05	0	0	0
S20156	0	1	0	0	0	0	0	0
S2016	0	1	0	0	0	0	0	0
S20160	0	1	0	0	0	0	0	0
S20166	0	1	0	0	0	0	0	0
S20168	0	0.998327957758493	0	0	0.00167204224150714	0	0	0
S20171	0	1	0	0	0	0	0	0
S20175	0	1	0	0	0	0	0	0
S20179	0	1	0	0	0	0	0	0
S2018	0	1	0	0	0	0	0	0
S20186	0	0.997005126786055	0	0.0029948732139448	0	0	0	0
S20189	0	0.992181345392309	0	0.0078186546076914	0	0	0	0
S20192	0	1	0	0	0	0	0	0
