Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BluePrint-Blood.tsv	B	Neutrophils	0.0	0.03	0.03	0.0009
Cibersort	BluePrint-Blood.tsv	B	CD4 T Cells	0.496610033352	0.194	0.302610033352	0.0915728322853
Cibersort	BluePrint-Blood.tsv	B	CD8 T Cell	0.10143914604	0.194	0.09256085396	0.0085675116858
Cibersort	BluePrint-Blood.tsv	C	B Cells	0.0	0.005	0.005	2.5e-05
Cibersort	BluePrint-Blood.tsv	C	Monocytes	0.20748682323	0.01	0.19748682323	0.0390010453495
Cibersort	BluePrint-Blood.tsv	C	NK Cells	0.0	0.051	0.051	0.002601
Cibersort	BluePrint-Blood.tsv	C	Neutrophils	0.0725256335672	0.004	0.0685256335672	0.00469576245579
Cibersort	BluePrint-Blood.tsv	C	CD4 T Cells	0.484277204649	0.828	0.343722795351	0.118145360044
Cibersort	BluePrint-Blood.tsv	C	CD8 T Cell	0.235710338554	0.102	0.133710338554	0.0178784546362
Cibersort	BluePrint-Blood.tsv	D	B Cells	0.0	0.005	0.005	2.5e-05
Cibersort	BluePrint-Blood.tsv	D	Monocytes	0.247744198666	0.01	0.237744198666	0.0565223039993
Cibersort	BluePrint-Blood.tsv	D	NK Cells	0.0	0.051	0.051	0.002601
Cibersort	BluePrint-Blood.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
Cibersort	BluePrint-Blood.tsv	D	CD4 T Cells	0.498667222862	0.828	0.329332777138	0.108460078097
Cibersort	BluePrint-Blood.tsv	D	CD8 T Cell	0.253588578472	0.102	0.151588578472	0.0229790971232
Cibersort	BluePrint-Blood.tsv	E	B Cells	0.0	0.01	0.01	0.0001
Cibersort	BluePrint-Blood.tsv	E	Monocytes	0.219402769678	0.026	0.193402769678	0.0374046313191
Cibersort	BluePrint-Blood.tsv	E	NK Cells	0.0	0.104	0.104	0.010816
Cibersort	BluePrint-Blood.tsv	E	Neutrophils	0.0408249206573	0.008	0.0328249206573	0.00107747541616
Cibersort	BluePrint-Blood.tsv	E	CD4 T Cells	0.508954082188	0.005	0.503954082188	0.253969716954
Cibersort	BluePrint-Blood.tsv	E	CD8 T Cell	0.230818227477	0.846	0.615181772523	0.378448613245
Cibersort	BluePrint-Blood.tsv	F	B Cells	0.0	0.027	0.027	0.000729
Cibersort	BluePrint-Blood.tsv	F	Monocytes	0.157580637004	0.055	0.102580637004	0.0105227870881
