B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S11017	0	0	0.3766	0.0816	0	0.3787	0.136	0	0	0.027
S11020	0	0	0.237	0.0897	0.0319	0.4015	0.137	0	0	0.103
S11027	0	0	0.2332	0.066	0	0.5424	0.0825	0	0	0.076
S11035	0	0	0.1861	0.0356	0	0.5934	0.1039	0	0	0.0811
S11041	0	0	0.1498	0.066	0	0.495	0.2	0	0	0.0891
S1106	0	0	0.1358	0.0326	0	0.4881	0.0766	0	0	0.2669
S11071	0	0	0.1825	0.1302	0.0551	0.1631	0.1068	0.0705	0	0.2917
S11076	0	0	0.16	0.072	0	0.4411	0.1989	0	0	0.1281
S11078	0	0	0.1804	0.0202	0	0.5626	0.1203	0	0	0.1165
S11081	0	0	0.2086	0.0911	0	0.3635	0.1657	0	0	0.1711
S11086	0	0	0.1381	0.0584	0	0.5231	0.1173	0	0	0.163
S1109	0	0	0.3117	0.0872	0	0.4111	0.1143	0	0	0.0758
S11096	0	0	0.2457	0.0309	0	0.5562	0.0977	0	0	0.0696
S11100	0	0	0.1494	0	0	0.3677	0.3113	0.0599	0	0.1116
S11107	0	0	0.1814	0	0	0.5733	0.1807	0	0	0.0647
S11109	0	0	0.2132	0.0073	0	0.6102	0.1237	0	0	0.0457
S1111	0	0	0.1792	0	0.1094	0.2872	0.1555	0.1192	0	0.1495
S11119	0	0	0.1699	0.029	0	0.4838	0.1754	0	0	0.1419
S11127	0	0	0.2602	0.1222	0.0244	0.3256	0.0081	0	0	0.2595
S11136	0	0	0.1945	0.0231	0	0.3341	0.2705	0	0.017	0.1608
S11147	0	0	0.1681	0.0256	0	0.5725	0.1124	0	0	0.1214
S11150	0	0	0.1234	0	0	0.6513	0.1296	0	0	0.0957
S11152	0	0	0.2387	0.0638	0	0.5162	0.1279	0	0	0.0535
S1116	0	0	0.1633	0.0237	0	0.3617	0.1953	0.0029	0	0.253
S11163	0	0	0.1202	0.0176	0.0018	0.4324	0.2262	0.0234	0	0.1784
S11164	0	0	0.2794	0.0396	0	0.5318	0.1378	0	0	0.0113
S11166	0	0	0.2586	0.0787	0	0.3259	0.2117	0	0.0378	0.0873
S11173	0	0	0.204	0.0164	0	0.5152	0.1822	0	0	0.0823
S11174	0	0	0.2523	0.0326	0.0428	0.3484	0.187	0.024	0.0017	0.1112
S11182	0	0	0.1776	0	0	0.4571	0.2009	0	0	0.1645
S11188	0	0	0.2774	0.0226	0	0.5292	0.0901	0	0	0.0805
S11189	0	0	0.1639	0	0	0.5064	0.1729	0	0	0.1568
S1119	0	0	0.2314	0.0177	0.0569	0.2289	0.2319	0.1072	0	0.126
S11195	0	0	0.1762	0.0137	0	0.3275	0.227	0	0	0.2556
S11197	0	0	0.1256	0	0.0046	0.389	0.3011	0.0276	2e-04	0.1519
S11198	0	0	0.2719	0.0742	0	0.5997	0.0496	0	0	0.0046
S11211	0	0	0.2774	0.0557	0.0112	0.3019	0.193	0	0	0.1608
S11214	0	0	0.2819	0.0907	0	0.3599	0.0921	0	0.0099	0.1656
S11216	0	0	0.199	0.0456	0	0.405	0.1851	0	0	0.1652
S11224	0	0	0.1966	0.0582	0	0.48	0.1711	0	0	0.094
S11236	0	0	0.2659	0	0	0.449	0.1693	0	0	0.1158
S11241	0	0	0.1736	0.0629	2e-04	0.4772	0.1271	0	0.0086	0.1505
S11243	0	0	0.1588	0.0358	0.0064	0.4208	0.212	0.0051	0	0.1611
S11245	0	0	0.2338	0.072	0	0.4012	0.1762	0	0.006	0.1108
S11249	0	0	0.21	0.0306	0.0044	0.381	0.2172	0	0	0.1568
S11274	0	0	0.2354	0.0611	0.0202	0.2571	0.2513	0	0.0748	0.1
S11280	0	0	0.214	0.0368	0.0093	0.334	0.1943	0	0	0.2117
S11281	0	0	0.3136	0.0706	0	0.3335	0.1762	0	0	0.1061
S11285	0	0	0.2358	0.0445	0	0.3625	0.2238	0	0.0027	0.1307
S11298	0	0	0.2204	0.0556	0	0.323	0.2292	0.0033	0	0.1684
S11311	0	0	0.2458	0.0429	0.0168	0.3592	0.1663	0	0	0.1689
S11312	0	0	0.173	0.0091	0	0.4483	0.2068	0	0	0.1629
S11316	0	0	0.2789	0.0227	0	0.4104	0.1625	0.0058	0	0.1197
S1133	0	0	0.1299	0.0259	0	0.5222	0.2036	0	0	0.1185
S11330	0	0	0.1006	0.2109	0.0166	0.4821	0.0413	0	0	0.1486
S11332	0	0	0.0771	0.0972	0.0408	0.2996	0.2172	0	0	0.2679
S11334	0	0	0.2669	0.0801	0	0.3694	0.081	0	0	0.2026
S11335	0	0	0.1853	0	0	0.5355	0.1605	0	0	0.1186
S11345	0	0	0.1334	0.0753	0	0.3299	0.3253	0	0.0127	0.1233
S11349	0	0	0.2686	0.1245	0	0.3206	0.0845	0	0	0.2017
