Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
Mix_76,567.524481323,191.804995924,154.200592188,421.117808952,77.027856105,408.88349948,28.8380150913,85.4161969765,136.558668484,40.8078610659,21.4100415083
Mix_77,526.080261053,225.628218525,134.211682393,389.846122433,69.49876267,254.551356267,108.558375212,124.341446767,435.175577964,75.5330863738,43.8355469165
Mix_78,384.118887454,97.9666270913,222.795071295,599.584929035,85.89461046,607.266679323,18.2028313553,78.9119120222,101.107393388,29.6744073658,17.3179714985
Mix_79,346.939944716,131.04452316,92.3834240273,280.334020024,68.7835506325,203.781151408,82.1675420067,94.4613678767,329.048099632,71.4518780207,40.32139175
Mix_80,620.827374206,236.918338287,194.986454414,541.574434847,84.0128399525,317.310853077,74.2927232274,114.22079613,278.945235232,47.7563481963,27.0459586172
Mix_81,589.05533354,236.613538773,131.752704795,371.089683499,61.718153225,441.031047068,81.1994800914,109.243480057,334.066347426,66.629412085,37.1072892838
Mix_82,719.338610253,253.886081218,175.773338033,471.43572872,74.3369006275,551.037025285,7.64158615671,81.8783253198,63.4147919004,24.0906622326,16.9126281848
Mix_83,792.314126651,323.707119919,131.779734349,371.491993765,62.147810665,374.865043663,70.5550741827,116.225221748,300.78475187,56.7078166316,31.3211777893
Mix_84,597.151489306,238.050994086,190.426023246,516.384132076,63.150356795,553.802778039,83.060920413,121.387413515,363.664240927,63.9258874935,35.4528318852
Mix_85,621.815276563,212.345516299,175.329712427,475.622663822,82.5885534025,367.00178829,21.9434555023,85.1730193604,118.804504079,31.6940149264,19.8142389298
Mix_86,479.053508099,186.295180887,130.362285705,367.902893775,63.6608829525,472.040696417,86.7634038174,106.120750261,358.605919807,68.1266463962,38.3865622603
Mix_87,1179.22204514,514.210448029,67.3382442883,213.230266558,45.9656711,135.65240517,80.4712931714,135.796671086,335.925502302,51.9675580854,40.012579945
Mix_88,826.738151291,322.697428991,220.50074748,594.987921084,69.061097975,594.406465194,57.7227087687,119.353352463,257.468653669,47.9304635203,25.2880438402
Mix_89,261.081307466,99.7251547608,149.342218861,431.240023574,77.8627820375,357.046450923,111.633383756,108.940798043,460.701616745,89.6123459824,43.2571011332
Mix_90,601.657588399,212.018421315,118.682630139,353.072465572,83.6335641075,189.275960898,21.0655969771,82.1503601786,103.780110938,37.415015526,25.4935645002
Mix_91,1193.8131304,485.967509661,132.645698545,369.45429706,69.4375371625,180.594746842,32.0041323559,117.331919997,141.820509559,30.2896252589,22.0980913837
Mix_92,643.478802617,254.778367324,117.831800576,348.583040448,74.93857192,172.109559068,62.535512708,105.228987697,268.617112057,57.9767724093,33.348622804
Mix_93,502.663980091,211.969197777,225.320093497,650.947428416,79.725728115,503.980495592,109.283906231,134.196722484,463.752586978,69.0481752391,38.5973763093
Mix_94,909.568174336,360.624224052,195.629094021,533.067484432,65.059665235,482.969129128,55.5316100414,121.010621526,251.047842201,36.1101601028,26.4603250627
Mix_95,555.548388298,201.621091267,182.257620238,506.795688988,84.277335915,267.053370377,45.9967504887,101.830926119,212.431266842,46.4471103264,25.9207101333
Mix_96,419.709917119,134.664116777,229.732309442,630.964191408,85.2239828,535.589280049,62.0948886851,103.941444096,262.699514322,50.2799590074,24.9756659108
Mix_97,687.792687646,293.05220373,108.134642755,313.055593758,61.0350381125,330.201356668,92.0798299586,117.169738444,369.506425497,63.1955704466,40.6900254103
Mix_98,951.465698182,452.904977293,101.660992218,315.291541896,43.6729799545,207.581447891,183.472730582,187.70238884,727.012028013,106.756173205,62.2744343705
Mix_99,271.183242695,48.5849444795,285.908607755,782.385703175,105.656342142,569.228847293,31.2786417374,92.7052766277,166.171281389,31.824199442,19.094519664
Mix_100,616.014121883,272.752509653,114.658656875,344.350865566,68.2308785875,168.268632895,114.768588469,133.026793036,456.424720482,78.6194146113,45.6582570993
