ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
10902,7.0609158,8.20527,7.0948204,8.5093088,7.5713942,7.5291444
10903,6.8103566,8.6049292,7.5269792,8.890766,7.5541962,7.7630394
10925,7.0489712,8.3719276,7.0825284,8.5862572,7.4550254,7.352091
10949,7.0645858,8.324723,7.1872782,8.8135906,7.8798826,7.7319796
10969,6.9954958,8.3306184,7.3735132,8.5452322,7.7300662,7.7489496
10973,7.1011782,8.6486354,7.1826952,9.0352728,7.4167076,7.442289
10979,7.097193,8.3807546,7.3354302,8.6010106,7.7573766,7.6636226
10989,6.8750618,8.306904,7.055573,8.6285406,7.7013296,7.558187
11005,6.9588374,8.3554258,7.3375064,8.5638392,7.6217894,7.6376436
11010,6.6887838,7.7061194,6.9378514,8.078605,7.3111426,7.253241
11016,7.2476142,8.69037,7.4201322,8.8887984,7.8129082,7.9419714
11027,6.9105914,8.7626656,7.3233592,9.0596952,7.4984686,7.5756852
11035,6.9166736,8.3516612,7.0149544,8.8098202,7.2978586,7.3118438
11071,7.3069524,8.1532552,7.6951028,8.1393658,8.066078,8.1906524
11086,6.7735236,8.2999692,7.284301,8.6894372,7.4913422,7.4958332
11100,6.8924534,8.0741534,7.0106886,8.3771478,7.603478,7.2032438
11109,6.709491,8.321529,6.953508,8.7596634,7.1242362,7.114343
